window,is_start,is_end,oos_start,oos_end,is_metric,oos_metric,wfe,oos_pnl,oos_sharpe,oos_trades,oos_win_rate,baseline_oos_pnl,param_be_trigger_pts,param_shadow_threshold_pct,param_stop_buffer_ticks,param_tp1_points,param_trail_points
1,2024-01-01,2024-07-01,2024-07-01,2024-10-01,1.044901674945309,0.7135737505781147,0.6829099499868863,4306.91,0.7135737505781147,164,29.878048780487802,12211.66,10,30,20,20,15
2,2024-04-01,2024-10-01,2024-10-01,2025-01-01,1.1234082915341226,1.0749927181379495,0.9569029588253645,7912.0599999999995,1.0749927181379495,170,38.82352941176471,7912.0599999999995,10,30,40,20,15
