trades,pnl,win_rate,pf,sharpe,max_dd,strategy,start,end,params
503,24524.5,28.628230616302186,1.0554721163524503,0.3037284677518789,-40570.5,InsideBar,2010-01-01,2012-01-01,{'target_rr': 3.0}
507,4470.0,28.205128205128204,1.0116445671711778,0.0717281778008462,-56805.0,InsideBar,2012-01-01,2014-01-01,{'target_rr': 3.0}
511,-82740.0,25.440313111545986,0.8580155815629612,-0.912035958161058,-125290.0,InsideBar,2014-01-01,2016-01-01,{'target_rr': 3.0}
498,-43905.0,27.510040160642568,0.9111342751892483,-0.5310736089116181,-89970.0,InsideBar,2016-01-01,2018-01-01,{'target_rr': 3.0}
510,87770.0,28.235294117647058,1.1047268475154668,0.5694050804354382,-102160.0,InsideBar,2018-01-01,2020-01-01,{'target_rr': 3.0}
514,98540.0,29.571984435797667,1.0638777157266626,0.34595667256428264,-185760.0,InsideBar,2020-01-01,2022-01-01,{'target_rr': 3.0}
515,120220.0,29.902912621359224,1.0625292569514517,0.35941677278741246,-145250.0,InsideBar,2022-01-01,2024-01-01,{'target_rr': 3.0}
516,-68250.0,30.03875968992248,0.9623183204737126,-0.2050479609683591,-331720.0,InsideBar,2024-01-01,2026-01-01,{'target_rr': 3.0}
22,-37215.0,40.909090909090914,0.3630295250320924,-4.397280030785498,-43990.0,ThreeBar,2010-01-01,2012-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
27,1790.0,37.03703703703704,1.068556108770586,0.38745846986440224,-11140.0,ThreeBar,2012-01-01,2014-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
28,-680.0,42.857142857142854,0.9813212470814449,-0.10988032770406521,-11610.0,ThreeBar,2014-01-01,2016-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
44,-23985.0,38.63636363636363,0.5853932584269663,-3.35599454385625,-29185.0,ThreeBar,2016-01-01,2018-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
55,82425.0,45.45454545454545,1.8186829558998807,2.951597239871934,-28805.0,ThreeBar,2018-01-01,2020-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
48,-44125.0,39.58333333333333,0.8143824667676258,-1.2526819618871756,-108330.0,ThreeBar,2020-01-01,2022-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
44,129700.0,61.36363636363637,2.0023958574851224,4.070882324552584,-47985.0,ThreeBar,2022-01-01,2024-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
53,63555.0,52.83018867924528,1.2666345024332941,1.4818957354461781,-60225.0,ThreeBar,2024-01-01,2026-01-01,"{'consecutive': 3, 'min_body_pct': 70.0}"
485,23544.5,40.41237113402062,1.0302342902270991,0.18078357795250377,-79465.5,Keltner,2010-01-01,2012-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
490,17308.0,39.59183673469388,1.0278863536030882,0.17546304050344372,-58785.0,Keltner,2012-01-01,2014-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
489,218818.5,43.76278118609407,1.262905047398205,1.4040557619743623,-62690.0,Keltner,2014-01-01,2016-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
476,-48110.0,40.12605042016807,0.9418898189416725,-0.3675174328365512,-83365.0,Keltner,2016-01-01,2018-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
493,205225.0,40.56795131845842,1.1484051284647148,0.8041155256726548,-85145.0,Keltner,2018-01-01,2020-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
503,541605.0,46.91848906560636,1.2370516751249039,1.239323113308992,-115590.0,Keltner,2020-01-01,2022-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
498,144585.0,42.369477911646584,1.045362419329031,0.27692384494028593,-233700.0,Keltner,2022-01-01,2024-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
493,-3060.0,42.393509127789045,0.99892009020423,-0.005946157774914501,-364500.0,Keltner,2024-01-01,2026-01-01,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
508,-64795.0,33.07086614173229,0.7991693399662156,-1.3429995910007075,-93535.0,Exhaustion,2010-01-01,2012-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
506,-35075.0,33.00395256916996,0.8707436615566038,-0.8364475490076243,-42945.0,Exhaustion,2012-01-01,2014-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
507,21800.0,36.29191321499014,1.062287493928398,0.35974389340707263,-43555.0,Exhaustion,2014-01-01,2016-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
511,76015.0,40.11741682974559,1.26968584251326,1.3579725208052706,-15990.0,Exhaustion,2016-01-01,2018-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
513,-50765.0,36.84210526315789,0.9121119786707294,-0.5459809348941642,-103145.0,Exhaustion,2018-01-01,2020-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
515,-182840.0,36.310679611650485,0.8210188339402482,-1.073056733438013,-212425.0,Exhaustion,2020-01-01,2022-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
514,161865.0,40.46692607003891,1.146304757514541,0.7965956626618849,-93865.0,Exhaustion,2022-01-01,2024-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
516,104720.0,37.5968992248062,1.100140092853352,0.5421062792444201,-75550.0,Exhaustion,2024-01-01,2026-01-01,"{'consecutive_bars': 3, 'target_rr': 2.0}"
