Strategy,Pass,Total,Pass%,Avg_PF,Avg_Sharpe,Total_PnL,Avg_WR,Worst_PF,Best_PF,Avg_Trades,Params
Keltner,6,8,75.0,1.086581852911618,0.46340015921759714,1099916.0,42.01780836230963,0.9418898189416725,1.262905047398205,490.875,"{'ema_period': 20, 'kelt_mult': 2.0, 'target_rr': 3.0}"
InsideBar,5,8,62.5,1.0037148351178913,0.0002597054123529008,140629.5,28.441582869793173,0.8580155815629612,1.1047268475154668,509.25,{'target_rr': 3.0}
ThreeBar,4,8,50.0,1.1125494902371267,-0.028000386812236377,171465.0,44.83391728379936,0.3630295250320924,2.0023958574851224,40.125,"{'consecutive': 3, 'min_body_pct': 70.0}"
Exhaustion,4,8,50.0,0.9976827501179185,-0.09275830652773259,30925.0,36.71259486566144,0.7991693399662156,1.26968584251326,511.25,"{'consecutive_bars': 3, 'target_rr': 2.0}"
