client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240105-120500-003-003-14,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-014,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-999,MARKET,BUY,4,GTC,False,False,4,TAKER,5030.4,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,57d08034-4652-4ac3-a1b5-5d69228b0ec4,2024-01-05 12:05:00+00:00,2024-01-05 12:05:00+00:00
O-20240105-121000-003-003-15,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-015,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1001,MARKET,SELL,4,GTC,True,False,4,TAKER,5028.0,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9bf87ef7-1d47-4ebd-b931-aa724f06aa1d,2024-01-05 12:10:00+00:00,2024-01-05 12:10:00+00:00
O-20240108-075000-003-003-16,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-016,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1226,MARKET,BUY,4,GTC,False,False,4,TAKER,5045.6,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,eadf4f26-9ba7-420d-837e-3b4f4ea9dd38,2024-01-08 07:50:00+00:00,2024-01-08 07:50:00+00:00
O-20240108-080000-003-003-17,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-017,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1229,MARKET,SELL,4,GTC,True,False,4,TAKER,5043.46,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6ca39a42-3b39-45d6-802c-2c7ed5a2fa92,2024-01-08 08:00:00+00:00,2024-01-08 08:00:00+00:00
O-20240108-082000-003-003-18,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-018,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1234,MARKET,BUY,4,GTC,False,False,4,TAKER,5046.66,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5e0ae433-d596-4796-ae40-43d657c2dee3,2024-01-08 08:20:00+00:00,2024-01-08 08:20:00+00:00
O-20240108-090500-003-003-19,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-019,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1244,MARKET,SELL,4,GTC,True,False,4,TAKER,5040.26,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fa8d5bdd-5dfa-46fd-b97c-d7d792ecf825,2024-01-08 09:05:00+00:00,2024-01-08 09:05:00+00:00
O-20240109-071000-003-003-20,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-020,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1498,MARKET,BUY,4,GTC,False,False,4,TAKER,5114.37,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2ed1f6ce-d066-4576-bd1e-cf80876c7551,2024-01-09 07:10:00+00:00,2024-01-09 07:10:00+00:00
O-20240109-072000-003-003-21,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-021,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1501,MARKET,SELL,4,GTC,True,False,4,TAKER,5114.11,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,53187b43-a7b7-4c86-8506-186dd68b53aa,2024-01-09 07:20:00+00:00,2024-01-09 07:20:00+00:00
O-20240109-103500-003-003-22,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-022,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1541,MARKET,BUY,4,GTC,False,False,4,TAKER,5105.84,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,82bc5fbf-3f74-40c5-887b-6eb9e314cef9,2024-01-09 10:35:00+00:00,2024-01-09 10:35:00+00:00
O-20240109-104500-003-003-23,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-023,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1544,MARKET,SELL,4,GTC,True,False,4,TAKER,5103.71,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9f244101-9145-4614-b389-7795f8e7d463,2024-01-09 10:45:00+00:00,2024-01-09 10:45:00+00:00
O-20240109-125000-003-003-24,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-024,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1570,MARKET,BUY,4,GTC,False,False,4,TAKER,5101.04,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,edd49da5-c026-413b-a44c-fd42d5cd162e,2024-01-09 12:50:00+00:00,2024-01-09 12:50:00+00:00
O-20240109-130500-003-003-25,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-025,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1574,MARKET,SELL,4,GTC,True,False,4,TAKER,5098.38,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a4b17a51-6857-4c7f-8c49-334efd0baa55,2024-01-09 13:05:00+00:00,2024-01-09 13:05:00+00:00
O-20240110-071500-003-003-26,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-026,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1781,MARKET,BUY,4,GTC,False,False,4,TAKER,5106.38,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4bd3ef29-612a-4fc0-b364-2b8a274bd28f,2024-01-10 07:15:00+00:00,2024-01-10 07:15:00+00:00
O-20240110-080500-003-003-27,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-027,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1792,MARKET,SELL,1,GTC,False,False,1,TAKER,5111.44,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f24ff2b2-02e3-4b8f-98a6-2a31df4b789f,2024-01-10 08:05:00+00:00,2024-01-10 08:05:00+00:00
O-20240110-093500-003-003-28,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-028,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1811,MARKET,SELL,3,GTC,True,False,3,TAKER,5121.84,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ad1fbd21-6e5b-4e72-a5f6-b04f3092c213,2024-01-10 09:35:00+00:00,2024-01-10 09:35:00+00:00
O-20240110-111500-003-003-29,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-029,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1832,MARKET,BUY,4,GTC,False,False,4,TAKER,5116.24,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d09c4d0a-9519-4fc9-a8b7-edb56cc70487,2024-01-10 11:15:00+00:00,2024-01-10 11:15:00+00:00
O-20240110-112500-003-003-30,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-030,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1835,MARKET,SELL,4,GTC,True,False,4,TAKER,5113.57,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1493dcbe-fb66-4d2b-a80f-c23e6f02ea09,2024-01-10 11:25:00+00:00,2024-01-10 11:25:00+00:00
O-20240110-123000-003-003-31,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-031,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-1849,MARKET,BUY,4,GTC,False,False,4,TAKER,5114.64,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3a26ba51-4b2e-4774-9cd8-832d3a225588,2024-01-10 12:30:00+00:00,2024-01-10 12:30:00+00:00
