trades,pnl,win_rate,pf,sharpe,max_dd,strategy,start,end,params
444,7065.0,32.88288288288289,1.0112463288257814,0.0672765946444162,-100485.0,EMACross,2018-01-01,2020-01-01,"{'fast_period': 9, 'slow_period': 21, 'target_rr': 2.0}"
443,104155.0,38.60045146726862,1.0980905516445743,0.5740467582598769,-192800.0,EMACross,2020-01-01,2022-01-01,"{'fast_period': 9, 'slow_period': 21, 'target_rr': 2.0}"
433,76465.0,36.027713625866056,1.0573854767050912,0.3656170282817206,-90105.0,EMACross,2022-01-01,2024-01-01,"{'fast_period': 9, 'slow_period': 21, 'target_rr': 2.0}"
427,211570.0,37.93911007025761,1.1777242028157655,0.9669001225524373,-106900.0,EMACross,2024-01-01,2026-01-01,"{'fast_period': 9, 'slow_period': 21, 'target_rr': 2.0}"
514,101860.0,28.599221789883266,1.2496109783740734,1.3000061542896808,-34500.0,HHBreakout,2010-01-01,2012-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
513,37215.0,29.629629629629626,1.1052668797556078,0.6271547145810037,-25325.0,HHBreakout,2012-01-01,2014-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
511,-18711.5,28.37573385518591,0.9635288958191209,-0.21463917465679044,-63605.0,HHBreakout,2014-01-01,2016-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
513,-43205.0,25.730994152046783,0.9065231501514496,-0.5852681920088396,-60440.0,HHBreakout,2016-01-01,2018-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
514,93100.0,29.571984435797667,1.1189130504198996,0.6661500231712248,-83490.0,HHBreakout,2018-01-01,2020-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
517,284970.0,31.14119922630561,1.2130449572183117,1.0897892348019207,-217895.0,HHBreakout,2020-01-01,2022-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
513,220270.0,29.0448343079922,1.1336975159709262,0.7486890069677923,-132515.0,HHBreakout,2022-01-01,2024-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
513,-12420.0,28.26510721247563,0.9918611813737697,-0.046578081731330094,-216235.0,HHBreakout,2024-01-01,2026-01-01,"{'lookback': 20, 'stop_atr_mult': 1.0, 'target_rr': 3.0}"
506,10530.0,37.351778656126484,1.069804441498177,0.3615452300348314,-24005.0,FirstPB,2010-01-01,2012-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
503,12440.0,42.54473161033797,1.0974654287617034,0.5643272511534345,-12305.0,FirstPB,2012-01-01,2014-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
504,4610.0,39.682539682539684,1.0245945369184806,0.1222887890642826,-28755.0,FirstPB,2014-01-01,2016-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
502,-15720.0,38.24701195219124,0.9047590197206992,-0.557731573971104,-33815.0,FirstPB,2016-01-01,2018-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
509,53235.0,42.04322200392927,1.202950763424258,1.0463336662437714,-21590.0,FirstPB,2018-01-01,2020-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
513,11530.0,45.419103313840154,1.0207790803499823,0.10691496148288447,-124915.0,FirstPB,2020-01-01,2022-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
511,145385.0,46.37964774951076,1.2490770008309133,1.255263150951118,-59525.0,FirstPB,2022-01-01,2024-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
508,56250.0,45.86614173228347,1.0859145894428153,0.43942094424984685,-64880.0,FirstPB,2024-01-01,2026-01-01,"{'breakout_lookback': 30, 'target_rr': 3.0}"
508,24450.0,29.133858267716533,1.060383043354778,0.3409165857008301,-70425.0,TrendAccel,2010-01-01,2012-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
511,109645.0,33.659491193737765,1.3367578856844498,1.6911390398799813,-23255.0,TrendAccel,2012-01-01,2014-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
513,142045.0,33.528265107212476,1.295394757364333,1.5457740143256147,-34150.0,TrendAccel,2014-01-01,2016-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
510,79615.0,30.784313725490197,1.1703960533778506,0.892645535723118,-43640.0,TrendAccel,2016-01-01,2018-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
511,65920.0,28.37573385518591,1.078266083312061,0.42643930153367804,-138610.0,TrendAccel,2018-01-01,2020-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
511,161945.0,29.9412915851272,1.1211809426888857,0.597538750795847,-105225.0,TrendAccel,2020-01-01,2022-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
503,280960.0,31.411530815109344,1.1706288355201429,0.9169250722353791,-161615.0,TrendAccel,2022-01-01,2024-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
504,108180.0,31.547619047619047,1.0699956325520454,0.37994635796200094,-181935.0,TrendAccel,2024-01-01,2026-01-01,"{'accel_mult': 1.5, 'ema_period': 10, 'target_rr': 3.0}"
